0:	1.094265189749E-05
1:	1.928613528435E-05
2:	2.676496114873E-05
3:	3.502990512061E-05
4:	4.408847235027E-05
5:	5.203459295444E-05
6:	5.953187064733E-05
7:	6.627832772210E-05
8:	7.232710049720E-05
9:	7.899882621132E-05
10:	8.506439917255E-05
11:	9.186176612275E-05
12:	9.926420898410E-05
13:	1.047318583005E-04
14:	1.091442391044E-04
15:	1.144284397014E-04
16:	1.203981519211E-04
17:	1.270927459700E-04
18:	1.334085827693E-04
19:	1.388112432323E-04
20:	1.437367900508E-04
21:	1.493032177677E-04
22:	1.561908284202E-04
23:	1.638577814447E-04
24:	1.707926130621E-04
25:	1.766234781826E-04
26:	1.817804004531E-04
27:	1.873889996205E-04
28:	1.940116344485E-04
29:	2.010587340919E-04
30:	2.077348326566E-04
31:	2.136308467016E-04
32:	2.191667590523E-04
33:	2.250204997836E-04
34:	2.314720768481E-04
35:	2.382323582424E-04
36:	2.447707811370E-04
37:	2.508103789296E-04
38:	2.565573959146E-04
39:	2.625024062581E-04
40:	2.688982349355E-04
41:	2.755400200840E-04
42:	2.820190857165E-04
43:	2.881255350076E-04
44:	2.941412676591E-04
45:	3.004876198247E-04
46:	3.070855163969E-04
47:	3.138380125165E-04
48:	3.205278771929E-04
49:	3.270296147093E-04
50:	3.334231732879E-04
51:	3.399029083084E-04
52:	3.465807822067E-04
53:	3.533801354934E-04
54:	3.601234639063E-04
55:	3.667278215289E-04
56:	3.732673358172E-04
57:	3.798755642492E-04
58:	3.866152546834E-04
59:	3.934365522582E-04
60:	4.002383211628E-04
61:	4.069573769812E-04
62:	4.136278002989E-04
63:	4.203477001283E-04
64:	4.271763609722E-04
65:	4.340777813923E-04
66:	4.409718676470E-04
67:	4.478193004616E-04
68:	4.546570125967E-04
69:	4.615478392225E-04
70:	4.685180319939E-04
71:	4.755495756399E-04
72:	4.826353106182E-04
73:	4.897056496702E-04
74:	4.967739223503E-04
75:	5.038836388849E-04
76:	5.110650672577E-04
77:	5.183008033782E-04
78:	5.255488795228E-04
79:	5.327892722562E-04
80:	5.400402005762E-04
81:	5.473301280290E-04
82:	5.546716274694E-04
83:	5.620541633107E-04
84:	5.694571882486E-04
85:	5.768660921603E-04
86:	5.842850077897E-04
87:	5.917353555560E-04
88:	5.992306396365E-04
89:	6.067633512430E-04
90:	6.143146893010E-04
91:	6.218740018085E-04
92:	6.294505437836E-04
93:	6.370581686497E-04
94:	6.446994375437E-04
95:	6.523723131977E-04
96:	6.600662600249E-04
97:	6.677762139589E-04
98:	6.755010108463E-04
99:	6.832531071268E-04
100:	6.910370429978E-04
101:	6.988515960984E-04
102:	7.066868129186E-04
103:	7.145374547690E-04
104:	7.224097498693E-04
105:	7.303103338927E-04
106:	7.382399635389E-04
107:	7.462004432455E-04
108:	7.541885133833E-04
109:	7.622030097991E-04
110:	7.702421862632E-04
111:	7.783117471263E-04
112:	7.864150684327E-04
113:	7.945484830998E-04
114:	8.027073345147E-04
115:	8.108895272017E-04
116:	8.190959924832E-04
117:	8.273317362182E-04
118:	8.355940226465E-04
119:	8.438833756372E-04
120:	8.521964773536E-04
121:	8.605325710960E-04
122:	8.688878733665E-04
123:	8.772660512477E-04
124:	8.856676286086E-04
125:	8.940914412960E-04
126:	9.025336476043E-04
127:	9.109932580031E-04
128:	9.194707963616E-04
129:	9.279668447562E-04
130:	9.364802390337E-04
131:	9.450113284402E-04
132:	9.535574354231E-04
133:	9.621180361137E-04
134:	9.706915589049E-04
135:	9.792788187042E-04
136:	9.878805140033E-04
137:	9.964942000806E-04
138:	1.005119644105E-03
139:	1.013755332679E-03
140:	1.022400567308E-03
141:	1.031055464409E-03
142:	1.039719092660E-03
143:	1.048391102813E-03
144:	1.057070912793E-03
145:	1.065757824108E-03
146:	1.074448111467E-03
147:	1.083145034499E-03
148:	1.091847079806E-03
149:	1.100553548895E-03
150:	1.109262579121E-03
151:	1.117975101806E-03
152:	1.126688788645E-03
153:	1.135404687375E-03
154:	1.144120004028E-03
155:	1.152837998234E-03
156:	1.161552267149E-03
157:	1.170266652480E-03
158:	1.178978709504E-03
159:	1.187686691992E-03
160:	1.196391531266E-03
161:	1.205095206387E-03
162:	1.213791663758E-03
163:	1.222482416779E-03
164:	1.231167698279E-03
